text,class
"oleglurie https://t.me/oleglurie/10184    из мемориала истории холокоста яд-вашем исчезли фотографии массового уничтожения евреев украинскими националистами-бандеровцами   израильский блогер маргарита левин выяснила, что за последние два года из мемориального комплекса истории холокоста яд-вашем в иерусалиме таинственным образом исчезли фотографии, на которых запечатлено, как украинские националисты совместно с нацистами уничтожали евреев на украине. в том числе и в бабьем яру.   также тихо исчезли из экспозиции музея холокоста и большинство упоминаний и документов о том, что украинские националисты-бандеровцы принимали самое непосредственное участие в массовом убийстве почти полутора миллионов евреев, проживавших на территории украины. а это каждый четвертый из шести миллионов евреев, убитых нацистами за время холокоста.      вы вдумайтесь в это: израиль, иерусалим, яд-вашем, шесть миллионов погибших. и вот мемориал истории холокоста вдруг «забывает» про бандеровцев, на чьих руках кровь миллионов украинских евреев. нет слов…  п как и зачем украинские националисты  переписывают историю в музее холокоста? мой собеседник виталий фриман - обычный гражданин израиля, обративший внимание на то что в музее холокоста исчезают доказательства причастности украинских националистов к геноциду еврейского народа. так из главного зала исчезла фотография свидетельствующая о том, что украинская полиция сотрудничала с фашистами.  у многих складывается ощущение, что израильтяне поддерживают происходящее сейчас переписывание истории на украине. это ощущение сложилось на фоне всевозможных акций, проплаченных украинской стороной. но мы, обычные израильтяне, всё видим, всё помним и знаем свою историю. и мы не согласны с тем, что происходит сейчас! помогите нам донести информацию, чтобы нас услышали! распространите этот ролик, чтобы все знали, что израильтяне видят то, куда добрались украинцы и мы не согласны с этим! 🔗 https://youtu.be/lltoo6juucc?si=vhs0r-l2knyf16sbкак и зачем украинские националисты переписывают историю в музее холокоста? маргарита левин израильский блогерnan",['политика']
"футболка лимитка))  футболка, 2500 писать @ruchkanova_elйокунь ашкина yesli ne poyeli landarino poyeshitenan",['реклама']
"нет достоверных доказательств того, что смех во всех случаях продлевает жизнь, однако многие медицинские исследования подтверждают, что смех положительно влияет на здоровье, иммунную систему, снижает уровень стресса. на страже вашего здоровья 😌nannan",[]
с каждого в комментариях по комплименту для @irka_myagkova 👇🏻nanпостоянно ходишь в худи верстаешь в шмотках не стыдно тебе носить такие вещи когда у тебя такая прекрасная красивая сладкая грудь стучара блядь говори еще подожди давай еще раз,['соцсети']
соседка паши техника #иванабрамов #прощайлегенда #пашатехникvк видеобаба маня я соседка этого наркомана че вы вот так красиво хороните а то есть рояль негр гвоздики тоже мне зюганов столбик и человек что ли был что то я его не помню на интервью у савочки манучарова я ж на него кого только не натравливала на этого наркомана не то он все постоянно в туалет смывает я буду он постоянно в туалет смывать потом смотрю поля в подъезде вот такая крыса сидит смотрит на стену и такая есть я говорю дорохов пришел откуда то любовник мой как бы я плохо сегодня про павлика не говорила все равно будет не хватать я не могу выше нашего павлика потому что без нашего павлика теперь я в подъезде буду самый ебобос и понимаете я в подъезде буду гули гули гули гули гули гули гули гули я подбираюсь они отравлен ненавижу голубей,['юмор']
"обещают тропический дождь в среду. считайте, все побываем на мальдивах и обгорать не придется!nannan",[]
"13 и 14 июля в «лужниках» будет супер, потому что в дни vk fest продолжит работу и fonbase  в субботу днем на базе можно будет принять участие в баскетбольном турнире вместе с 2drots, а вечером встретиться с легендарными александром овечкиным и андреем кириленко.  все воскресенье на базе будет идти футбольный турнир при участии игроков команд 2drots, а вечером можно будет первым увидеть новую форму цска и взять автограф у федора чалова, матвея лукина и мойзеса.   ну а вечером - просмотр финала евро-2024.   доступ на все события на fonbase в рамках vk fest не требует регистрации, понадобится только билет на фестиваль.fon 42 13 07 + новое спортивное и культурное пространство лужники 37* 33' 12 9\"" е vк fest- 2024 426+ fonbe] vк fest: баскетбол с ; 2drots fonbase / твое место среди первых / fonbasenan",['соцсети']
"https://rutube.ru/video/f8f2910f61e3a0638094151804281f1e/?r=a  п kagramanov x yamzy - не спать новый совместный трек «не спать» - это песня о бессоннице и безумном влечении между мужчиной и женщиной, которые только усугубляют свою бессонницу, стремясь оторваться от рутины настолько эффектно, что даже подруги позавидуют!    слушать на всех музыкальных площадках: https://band.link/nespat_single    music producer: @imyamzy  sound engineer: @pbuchko_  lyrics: @kagramana  video production: @insight.people  directed: @leonvas 🔗 https://rutube.ru/video/f8f2910f61e3a0638094151804281f1e/?r=anannan",['соцсети']
"опубликован комментарий к записи: https://vk.com/wall-212768340_230939  [id3522729|валюшка], это выпуск подкаста «дела». найти можно в видеозаписях сообщества. ловите https://vk.com/video-217986831_456239078дела 9 3 о у маньяк-потрошитель виктория складчикова faust 21 century игорь джабраиловnan",['соцсети']
а куда вы хотели бы слетать на машине времени?🤔 #дедищев #стендап #тнт #прошлое #будущее #reelsnanвсе это будущее это реально для детей я мне ничего не надо я бы одним глазком возможно просто хотел бы взглянуть что там будет я бы и в прошлое одним глазком я вот скорее все из этих людей которые машину времени бы на денек да я просыпнула куда куда ехать в прошлом советский союз я могу к матери в курс доехать я знаю куда бы слетал в будущем точно в 2045 год будут ли яндекс мусора но это было бы удобно и всегда видно где они ездят,['юмор']
"смешно, когда рассказываешь шутки про кекс, а сзади светится надпись «здоровье») #женскийстендап #женскийстендаптнт #каринасалихова #стендап #standup #стендаптнт #comedy #смешноевидео #отношения! 5 г у выоволось во время кекса mпросто в личной жизни и так всплывают некоторые моменты неожиданные, да? просто я как-то в эфире женского стендапа рассказывала про то, что у меня год не было секса, и вот что я вам скажу. если у человека что-то забрать и вернуть ему спустя какое-то время, он будет радоваться этому в два раза больше. да, выяснилось, что в сексе я теперь громче, и это, ребят, страшно. ну вы тоже поймите, там год не было, там само вырвалось, а хапопался.",['юмор']
"солнцезажигающие действия для дев ☀️♍️  💥 ссылка на полное видео со всеми знаками зодиака 👉🏻 https://youtu.be/sy8afeof61sсолнцезажигающие действия для дев полное видео смотрите на моём youtube канале ссылка на полное видеоесли вы родились под знаком зодиака дева или у вас находится солнце в шестом доме гороскопа, солнцезажигающие действия для вас – это полезная еда и продукты, постоянная забота о здоровье, кропотливые и интеллектуальные хобби, вышивка, пазлы, кроссворды, зарядка, соблюдение режима дня, переписывание список и каких-либо пунктов, расслабление, поддержка и наведение порядка, чистка гаджетов от каких-либо лишних контактов, документов. я это говорю и мне приятно самому, потому что у меня солнце-то в деве находится, и я получаю какой-то эстетический оргазм, когда я лишние, ненужные скрины и фотки в телефоне удаляю, это просто кайф.",['реклама']
"вы точно все посмотрели прожарку?  вот 👉 тутоднажды гариккаждый гарик увидел голодную собаку на заправке, купил ей сосиску в тесте, положил на асфальт, резко проголодался и сам её съел. не пущу вообще, собака ёбаная.",['юмор']
выпуск с евой на ютубе😍  https://youtu.be/o0hyjj_ovua  п женский форум #55 | ева польна переходите по ссылке http://surl.li/tuiyv или ищите в приложении сбербанконлайн промокод на дополнительную скидку в размере 2 000 рублей при первом заказе от 4 000 рублей и наслаждайтесь выгодным шопингом с мегамаркетом! — http://surl.li/tuizb erid: 2vtzqvtm4ve  ева польна  https://t.me/evapolna https://vk.com/official_evapolna  варя щербакова   https://t.me/varjauletelakanal  https://vk.com/varjauletela       наташа борисова  https://t.me/natavshoke  https://vk.com/natavshoke      оля парфенюк  https://t.me/sketchup_parfenyuk  https://vk.com/olya.parfenyuk        саша муратова  https://t.me/sasha_iz_elektrostali  https://vk.com/maleksandrad       «женский форум» в телеграме https://t.me/zhenforum    «женский форум» вконтакте https://vk.com/zhenforum  темы для обсуждения взяты с форума woman.ru https://www.woman.ru/forum/  00:00 начало  08:30 «дочь слушает песни с сексуальным подтекстом»  19:14 «обворовала соседка-ведьма» 31:20 «муж включает дабстеп при сексе»  51:58 «мне понравилась бедная жизнь» 🔗 https://youtu.be/o0hyjj_ovuaженский форум|nan,['юмор']
"играть свою жизнь сатсанг для маленьких от 17.02.24  смотреть запись в высоком качестве, поддержать епифанцева донатом можно через бусти - https://boosty.to/epifania  ℹ️ размер прикреплённого видео-файла превышает 150 мбnannan",['реклама']
"полные выпуски в шапке профиля☝🏻 мария маркова #маркова #мариямаркова #женский стендап  #женский стендап натнт # стендап  #женский стендап 5сезон #юморnanя тут недавно выходила из подъезда, и за мной вышел незнакомый мне молодой человек. а я знаю всех, кто живет в моем доме. я в пятиэтажке живу. поэтому я у него спросила, говорю, а вы где живете? потому что я мечтаю о карьере старшей по подъезду. он говорит, а я здесь живу, на втором этаже, я и моя жена, ведь я женат. думал, дальше он скажет, женат, но же нет, я самый женатый в мире человек. ну зачем ты мне в первом предложении говоришь? у нас же слюни текли. как будто ему риэлтор сказал, осторожно, там соседка развелась, ходит всем дверью, царапает. у меня в подъезде трое мужчин всего живет, я все квартиры проверила. в другом подъезде больше, но они там код поменяли, чтобы я проникнуть туда не могла. там познакомились с соседом, оказался отличный парень. но я заметила за собой такую особенность, если я узнаю про мужчину, что он женат, я начинаю чуть хуже к нему относиться. чуть-чуть. даже если я ничего не планирую, неженатый мужчина для меня и добрее, и красивее, и лучше, как профессионал. а есть женатые мужчины в зале, похлопайте, есть такие? вот эти люди совершили ошибку в жизни. а похлопайте еще раз, кто женат. слушайте, я заметила, если два раза спросить, всегда другой результат. всегда. я не знаю, что происходит за эту секунду. люди расходятся. я один раз спросила, мужчина первый раз похлопал, а второй раз нет.",['реклама']
вот кто главный мастер🔝👍🏻nanначинай. мой прогноз? да. 2- 1 выиграет голландия.,['спорт']
а вообще призовые за турниры сборных должны быть?😅  #евро202414 1 arsenol ~ . г auggas ее ~а вы знаете сколько заработает победитель этого чемпионата европы сейчас расскажу призовые за чемпионат от уефа не маленькие их никто не скрывает все данные представлены на официальном сайте союза просто за участие на турнире каждая федерация получит по девять с половиной миллионов евро затем бонусы за победы ничьи выход плей офф проходят каждой стадии максимально заработать можно двадцать восемь миллионов двести пятьдесят тысяч евро на команду на кубке америки который идет параллельно суммой меньше с бонусом за участие максимально можно получить восемнадцать миллионов но это в долларах евро около семнадцати а самое прибыльное для сборных это логично победа на чемпионате мира так аргентинцы в две тысячи двадцать втором заработали сорок один миллион евро вроде не мало но для сравнения мадридский реал со всеми бонусами за эту лигу чемпионов получил в три с половиной раза больше,['спорт']
"у моей подруги и коллеги, которой я уступила место уже в нескольких фильмах, но все также любимой и вдохновляющей вышел трек. не слушаете, если плохое настроение.   https://music.yandex.ru/album/32209395/track/128400484?utm_medium=copy_link  п ю-ху anna glaube слушать онлайн на яндекс музыке anna glaube • трек • 2024 🔗 https://music.yandex.ru/album/32209395/track/128400484?utm_medium=copy_link:nan",['личная жизнь']
kawaii 💞🎀🛍️🌸👛👙🐈bridenan,[]
"«господь утрет ваши слезы, и смерти больше не будет. ни скорби, ни болезни не будет. ибо прежнее прошло» (с)томзит musc ` ( noпродолжение в 3 части",[]
"nashume https://t.me/nashume/6865    новый фильм на шуме про современную спортивную индустрию и кто ее развивает   мы решили пообщаться с теми, кто знает все изнутри – командой pari и их амбассадором. ребята поддерживают футбольные команды «пари нн» и «амкал», устраивают тусовки, делают мерч с художниками. разбираемся. почему сейчас беттинг – двигатель спорта, интертеймента и креатива? почему государство легализовало беттинг? кто в россии делает ставки? как обмануть букмекера? когда отменят fan id? почему киберспорт сейчас – номер один? да и хотим узнать, каково нашим героям работать в букмекерской компании, какие там перспективы и ловушки.   короче, смотри фильм, делай репост тизера в сторис и отправляй ссылочку на ютуб всем своим.   на шуме18это маркетинг точно про спорт? или это все-таки не про спорт? вообще нужно четко отделять, что это 18+, а во-вторых, что это история не о заработке. сейчас бытинг, он заменяет спортивный маркетинг в россии. сверха огромная сумма, которая не всегда выделяется в низших лигах. у нас может быть, kanye west приедет? мы это вырежем, а то конкуренты налетят. нам нужно, чтобы человек вспомнил о нас в моменты, когда он хочет повеселиться. нас начинают воспринимать, как e-commerce. мы перестаем сотрудничать с теми, кто делает контент, потому что мы сами его способны делать. каждый из букмекеров 10 миллиардов тратит на развитие спорта. население пытается играть в игровых автоматах, на онлайн-казино, потому что они финансово безграмотные. это логично вроде как, но до этого сразу не дойдешь. чем больше ты ставишь, тем больше ты прыгаешь, потому что с каждой ставки ты минус 3% теряешь. букмекер, его основной смысл в том, чтобы у меня забрать, а тебе отдать, чтобы было кайфово, чтобы спорт развивался. продолжение в 3 части.",['спорт']
"залипательно… с тебя сердечко,если посмотрел больше одного раза ❤️😉залипательно? и я так считаюnan",[]
"сразу после финала собираемся в евродвушке на коммент шоу. банда отличная и эльвина с собой забираем 🔥🔥🔥  https://t.me/comment_show/7939  п коммент.шоу финал. финал. финал! по такому случаю собираем мощнейшую банду.   игорь осинькин дебютирует в евродвушке. рахимов и гончаренко — на местности. ну и куда же без короля футбола... сан саныч неценко в здании.   всё для того, чтобы ты провел время с кайфом. ждем тебя завтра: youtu.be/agqqhw_9crm 🔗 https://t.me/comment_show/793923:5 9 после матча коммент ive 5 1 1 финал евро-2024nan",['спорт']
один день из жизни на тв3🫰~сеnan,[]
"ровно 3 года назад. 02/07/21. четвертьфинал че. испания - швейцария. тот же стадио, тот же город, другая жизнь. сегодня стартуем в питере с летним кубком. зенит - сочи. включайте матч!espina 12 uternan",['спорт']
"умеете правильно спорить? #юмор #шутка #стендап #психологиякак спорить с женщиной ?оказалось, что я даже спорю неправильно. она говорит, высказывай всё через «я», используй «я-послание». а как? нельзя сказать «я». иди на х**.",['юмор']
"подкаст с владимиром винокуром у меня на ютуб канале. #гадзилы #винокур #подкасти с т о р и я с гастролей были какие-то там -были какие-то, там есть какая-то легендарная история у вас, может с гастролей, которая такая, ну там вот это было. на поезде ехали до нижнего новгорода, там садились на кораблик, и у меня что-то прихватило, болел живот, сели уже погрузились на корабль, врач говорит, что не сожрал вчера, на тебе таблетку. а у меня боли жуткие. меня отвезли в больницу местную, в горик, нижний новгород. ну, пендицит. да, причем перитонит.",['юмор']
"вот и запись первого выпуска правил игры.   обсуждение красной фомину и не красной квеквескири - в районе 10-й минуты.   посмотрим, что скажет эск.  п «правила игры». выпуск от 23.07.2024 смотри лучший спортивный контент в одном месте! https://onmatch.tv/rutube  обзоры всех топовых матчей, лучшие аналитические программы и передачи в полном объеме теперь на нашем rutube канале.  больше видео с лучшими моментами матчей на нашем официальном сайте: https://matchtv.ru/  мы в соцсетях: telegram: https://t.me/match_tv вконтакте: https://vk.com/matchtv   одноклассники: https://ok.ru/matchtvchannel rutube: https://rutube.ru/feeds/matchtv/ 🔗 https://rutube.ru/video/ef8fe38a0fdd1b21cf453550c6112ee9/?r=aматч : правила игры выпуск от 23.07 2024nan",['спорт']
"внимание: на рынок щенков вышли 2 дочери толика😊 беленькая и черненькая🩷🩷  только хорошим людям писать, мои внучки только к добрым людям😎 за всей информацией пишите наташе по тел: +7 (903) 601-26-16nannan",['личная жизнь']
"что ж, пришло время признаться вам, что я немножечко вспыльчивый.  (девацкииииии, это ред флаг 🚩)  играю перед сном в фифу каждый день. играю онлайн, не зная соперника в лицо. и, к сожалению, людям, когда они спрятаны под своим аккаунтом, свойственно вести себя как гандоны. например, выигрывая 2:0, просто перепасовываться с вратарём на своей половине до конца матча. от этого, друзья мои, горит жопа. поэтому каждый день я ухожу спать слегка озлобленный и раздраженный. есть, конечно, решение проблемы. просто не играть онлайн.   но очень хочется.аэзад получить : , : ; я 8nan",['юмор']
секс по графику @comedyclubru # стендап  #камедиклаб #камедисекс по графикуесли вы хотите зачать то нужно заниматься сексом строго через день и знаете секс по графику это ну не сексуально ну кстати по желанию начинается флирта да поцелуев секс по графику начинается с фразы так и шо надоела в процессе эта фраза может быть дан кого мы обманываем нет правда секс через день это даже физически трудно у нас перерыв вот буквально в феврале начался ну так чтобы скорпиона не родить а,['юмор']
"осталось всего ничего до финала, поэтому каждый наш выпуск на вес золота.  этот - на вес бронзы, потому, что мы провожаем голландию и изучаем англию. а алекс овечкин рассуждает, что будет, если роналду сядет на скамейку, а тренер даст команду притормозить в скоростях. и то, и другое у овечкина было в карьере!  а еще в студии осьминог!  https://youtu.be/isax94wqb7y?feature=shared  п нидерланды - англия, топ-замены саутгейта | овечкин выбрал лучшую команду евро // че#25 всем привет, «это че, брат!». у тимура гурцкая топовое усиление: вернулся роман нагучев, а еще к команде присоединился александр овечкин. владислав радимов, николай писарев и андрей аршавин играют традиционной тройкой.  англия — в финале евро-2024. гарет саутгейт сумел перестроиться? замены уоткинса и палмера — гениальное решение? был ли пенальти на харри кейне? кто виноват во втором пропущенном голе нидерландов?   а еще сравнили евро с кубком стэнли, обсудили значимость роналду для сборной португалии и проверили футбольные скиллы александра овечкина. смотрим!  наш телеграм-канал: https://t.me/etofootballbro/5405  вступай в чаты команд тимура и влада радимова: https://t.me/etofootballbro/5253  розыгрыш футболок будущих финалистов евро: https://t.me/etofootballbro/5456  наша группа вк: https://vk.com/etofootballbro  почта для связи: etofootballbrat@gmail.com по вопросам розыгрышей: etokonkursbro@gmail.com  00:00:00 — это че, брат! 00:00:31 — приветствуем александра овечкина! 00:06:02 — а если бы сборная россии играла на евро? 00:11:28 — полуфинал — потолок для этих голландцев? 00:17:16 — замена саутгейта сработала, он переиграл кумана? 00:20:40 — почему англия так скучно играла во втором тайме? 00:26:21 — был ли пенальти на кейне? 00:27:49 — может ли тренер сажать звезду на лавку? отвечает овечкин 00:39:00 — англия будет сушить игру в финале? 00:43:15 — сюжет! овечкин — не единственный хоккеист, который следит за евро 00:48:00 — квиз! овечкин знает, когда футбольное динамо в последний раз было чемпионом 01:03:00 — конкурс чеканки! овечкин vs аршавин  #этофутболбрат #этофутболитоги #этоитоги #тимургурцкая #гурцкая #евро #чемпионатевропы #евро2024 #футбол #тактика #премьерлига #рпл #трансферы #испания #германия #франция #португалия #дорский #александрдорский #радимов #владиславовдимов #аршавин #андрейаршавин #писарев #вадимписарев #англия #нидерланды #куман #кейн #беллингем #фоден #полуфиналевро #саутгейт #овечкин #александровечкин #роналду 🔗 https://youtu.be/isax94wqb7y?feature=shared1925 это че, 6 брат! овечкин + нагучев : гурцкая анисимов . радимов аршавин писаревnan",['спорт']
"щас проиграл матчей 8 подряд. пойду собирать чемодан, через пару часов выезжаю в аэропорт.  спокойной утраnannan",['спорт']
"сумка, 2000  блин обожаю ее писать @ruchkanova_el[нухgnaca ahn»nan",['реклама']
"ну вообще довольно логично, что человек уже находится в городе, если он в этом городе живет   https://t.me/pervsport/21173  п первый спорт ⚡️ мурад мусаев близок к возвращению в «краснодар»: он уже находится в городе и готов стать главным тренеров «быков» до конца сезона — «рб спорт» 🔗 https://t.me/pervsport/21173с s 5 ` 9nan",['спорт']
"владислав николаич, в кабак пойдем в следующий раз 😩😩😩  испанию с победой   косте геничу!  так откровенно топить за испанцев - нельзя  п владислав радимов владислав радимов о футболе и жизни: делюсь личным мнением, обсуждаю актуальные футбольные новости и вспоминаю яркие истории из прошлого 🔗 https://t.me/vladradimovnannan",['юмор']
"comment_show https://t.me/comment_show/7996    как работалось с абаскалем? почему джикия не играл, а соболев не ходил на завтраки? вопросов много, но и ответов тоже.   максимально откровенный владимир слишкович — в первом выпуске нового сезона кш.   врубай: youtu.be/z8ntrcfqwvy: ` выпуск 178 владимир слишковичnan",['спорт']
ребят ну что? увидимся тогда в екатеринбурге 27-го на октябрьской площади   fest “лето premier”nannan,['реклама']
"не смогла удержаться, праститиии😂клиника \""олимп \"" .nan",['личная жизнь']
"статья про бойкот игр в 1984-м!! и цитата характерная… ничего не напоминает???15: 21 lenta.ru игры войти новые материалы полным ходом развернулась мощная антиолимпийская кампания с привлечением известных спортсменов: мол, правильное решение, ехать в лос- анджелес небезопасно, и прочая чушь. меня, кстати, тоже подключали. журналисты сочиняли тексты, а мы подписывали. а что было делать? время было такое. но если честно, ни тогда, ни сейчас не знаю ни одного спортсмена, кто в самом деле бы так считал людмила кондратьева победительница ои-1980 в беге на 100 метров «дружба» в которой были представлены все олимпийские, кроме футбола, и три неолимпийские дисциплины, проходила в два захода летом и осенью 1984-го, участников соревнования принимали разные социалистические страны, а советские спортемены по итогам собрали сумасшедшие 126 медалей. трамов был в восторге. «игры \""дружбы\"" имели успех и способствовали миру, более тесному сотрудничеству и взаимопониманию. а вот в лос-анджелесе была безудержная коммерциализация и открытое наступление бизнеса на олимпийские идеалы. у нас же царила по-настоящему душевная атмосфера» ~ заявлял функционер. в lenta.runan",['политика']
sportrian https://t.me/sportrian/40586    ⚡ российские спортсмены не смогут посетить церемонию открытия паралимпийских игр в париже.  это решение международного паралимпийского комитета.nannan,['спорт']
